Epoch,Train Accuracy,Validation Accuracy,Test Accuracy,Train Recall,Validation Recall,Test Recall,Train Specificity,Validation Specificity,Test Specificity,Train Precision,Validation Precision,Test Precision,Train F-Score,Validation F-Score,Test F-Score,Train Loss,Validation Loss,Test Loss
27,0.5296610169491526,0.5412541254125413,0.4868421052631579,0.5296610169491526,0.5412541254125413,0.4868421052631579,1.0,1.0,1.0,0.49869818174955,0.5111456280386625,0.4529337004586191,0.48171760258103863,0.49904957109817677,0.4421414635440036,0.9785122130338526,1.4191853645510055,0.4868421052631579
28,0.536723163841808,0.5346534653465347,0.4901315789473684,0.536723163841808,0.5346534653465347,0.4901315789473684,1.0,1.0,1.0,0.5065518304284354,0.5090773151590031,0.45400617296733864,0.4869032419467655,0.4922097696566948,0.44165273363973734,0.9657972031046028,1.402992930213634,0.4901315789473684
29,0.5451977401129944,0.5445544554455446,0.506578947368421,0.5451977401129944,0.5445544554455446,0.506578947368421,0.9928057553956835,1.0,1.0,0.5088525845048166,0.5219603418437714,0.4608506463527238,0.49627584677677045,0.5032932215639604,0.4580041339263223,0.9440547503599003,1.3871674757359191,0.506578947368421
30,0.5543785310734464,0.5610561056105611,0.506578947368421,0.5543785310734464,0.5610561056105611,0.506578947368421,0.9928057553956835,1.0,1.0,0.5175452640047769,0.5330082641680287,0.45599549495433606,0.50702860991651,0.5228977917194938,0.45810281584628815,0.9216340698068783,1.3716496955382844,0.506578947368421
31,0.5543785310734464,0.570957095709571,0.5098684210526315,0.5543785310734464,0.570957095709571,0.5098684210526315,1.0,1.0,1.0,0.518608464420092,0.5435374796622996,0.4632236367433736,0.5068775564883965,0.5309621131494552,0.4614908100311022,0.9039175270331844,1.356561561070378,0.5098684210526315
32,0.5812146892655368,0.5775577557755776,0.5361842105263158,0.5812146892655368,0.5775577557755776,0.5361842105263158,1.0,1.0,1.0,0.5349330307713897,0.5320426201779337,0.48173592979919755,0.5359704746518301,0.5352844482524407,0.48738131616299024,0.8946720105991293,1.3421275126181516,0.5361842105263158
33,0.576271186440678,0.5643564356435643,0.5263157894736842,0.576271186440678,0.5643564356435643,0.5263157894736842,1.0,1.0,1.0,0.5320944640199529,0.528999428708223,0.47530965455589186,0.5302498274604855,0.522955734126095,0.47914039143082066,0.8735941714178044,1.3279295325817775,0.5263157894736842
34,0.5706214689265536,0.5841584158415841,0.5131578947368421,0.5706214689265536,0.5841584158415841,0.5131578947368421,0.9928057553956835,1.0,1.0,0.5282346542217249,0.5500931379323925,0.4682529694468382,0.5225526466108812,0.5492248939656598,0.46963734501852233,0.8755328475602799,1.314623747728204,0.5131578947368421
35,0.5635593220338984,0.5643564356435643,0.5164473684210527,0.5635593220338984,0.5643564356435643,0.5164473684210527,1.0,1.0,1.0,0.5269453512870853,0.5346438764843194,0.46888089583312703,0.514066758749541,0.5248604162770564,0.4679926977596743,0.8682226146311719,1.3018694296397173,0.5164473684210527
36,0.5932203389830508,0.5907590759075908,0.5427631578947368,0.5932203389830508,0.5907590759075908,0.5427631578947368,0.9928057553956835,1.0,0.9615384615384616,0.5460407766740756,0.5568175905830816,0.48879562969612733,0.5488189118253571,0.5536163696460049,0.4978465367126251,0.8658414749587103,1.2897575420096894,0.5427631578947368
37,0.567090395480226,0.5676567656765676,0.5230263157894737,0.567090395480226,0.5676567656765676,0.5230263157894737,1.0,1.0,1.0,0.5295021691055191,0.5445091967459261,0.46519678322630725,0.5160772613437586,0.5263310994661246,0.4675190132773362,0.8459551036824896,1.2777628815143598,0.5230263157894737
