componentes_principais,autovalores
PC300,0.18503779078356214
PC301,0.1797313779762942
PC302,0.18117222135320976
PC303,0.17303728611382357
PC304,0.17514810543884507
PC305,0.17432512732924232
PC306,0.17106905415520554
PC307,0.16851914340629526
PC308,0.1659817036370361
PC309,0.16534934231316112
PC310,0.16096861846780253
PC311,0.1598606314927098
PC312,0.1554047575132319
PC313,0.15679269539124716
PC314,0.15643222696521522
PC315,0.15161890885670723
PC316,0.15252158838554516
PC317,0.14900824804358112
PC318,0.14973443249451088
PC319,0.13554510527996652
PC320,0.1449708765384315
PC321,0.14581676308310992
PC322,0.14357639464953062
PC323,0.14200064960924794
PC324,0.1404955692286749
PC325,0.13883312750082955
PC326,0.13939491566460882
PC327,0.13462843600074811
PC328,0.13421954786822607
PC329,0.1325232731540803
PC330,0.1314809396966704
PC331,0.1304375707690884
PC332,0.12910258719669349
PC333,0.12617848857869804
PC334,0.12546194531287538
PC335,0.12452728606170368
PC336,0.12355647957761076
PC337,0.12412100261684159
PC338,0.12184038177314267
PC339,0.12051769063226549
PC340,0.11958351616512182
PC341,0.11807684375698513
PC342,0.1171789958799428
PC343,0.11617404992289557
PC344,0.11550837909011234
PC345,0.112101914580649
PC346,0.11133510225803471
PC347,0.11058470335135093
PC348,0.10893981728048924
PC349,0.1085859926594171
PC350,0.10832893964728588
PC351,0.10742014727415125
PC352,0.10552159171508456
PC353,0.10478673091779155
PC354,0.10274551267554682
PC355,0.10336885107462199
PC356,0.10373914281518049
PC357,0.1020043456258047
PC358,0.10050407385628424
PC359,0.09945033252209386
PC360,0.09879381524419446
PC361,0.09853457532652449
PC362,0.09703947829356044
PC363,0.09614531932860158
PC364,0.09528936666498997
PC365,0.09449766520061095
PC366,0.09375671852719025
PC367,0.09287813957328099
PC368,0.09127410130130066
PC369,0.0921866832344618
PC370,0.09229696226088882
PC371,0.09020506096832753
PC372,0.08943220567542662
PC373,0.08686581545203988
PC374,0.08758960620878142
PC375,0.08836184777298114
PC376,0.08538716258820513
PC377,0.0844845903342928
PC378,0.08475228998164962
PC379,0.08573253987904966
PC380,0.08256270627246046
PC381,0.08270308274691952
PC382,0.08284354570780049
PC383,0.08125240880797767
PC384,0.08003010845033029
PC385,0.07933373257112149
PC386,0.0786960068043623
PC387,0.0783012144067812
PC388,0.07699324515811283
PC389,0.07667570060027064
PC390,0.07630798694901608
PC391,0.07546741462807327
PC392,0.06917086958815372
PC393,0.07054471230065765
PC394,0.07200764924981018
PC395,0.07386938373406429
PC396,0.07420574064590126
PC397,0.0727086616271829
PC398,0.07310155135017818
PC399,0.07119998764179082
PC400,0.07506612777976777
PC401,0.06946001354592629
PC402,0.06988414417315213
PC403,0.0686247582356783
PC404,0.06791196305460223
PC405,0.06781282957432397
PC406,0.0669803171639029
PC407,0.06625859931440685
PC408,0.06553539142409943
PC409,0.064736066056252
PC410,0.06456925218186209
PC411,0.0642997290134228
PC412,0.06312671204040633
PC413,0.06388295319435137
PC414,0.0636204837263502
PC415,0.06283208367765176
PC416,0.06182825754959222
PC417,0.06155959649748724
PC418,0.06112073330519388
PC419,0.06033322344326788
PC420,0.05984226781921364
PC421,0.05937043954499161
PC422,0.058509615504113356
PC423,0.059012923767113076
PC424,0.058121647574723365
PC425,0.057617684722568764
PC426,0.0569667665244833
PC427,0.05703750555704105
PC428,0.05659382125056694
PC429,0.05621911505479436
PC430,0.05543761190946719
PC431,0.054398521970041296
PC432,0.0551308450846069
PC433,0.05370320893619385
PC434,0.05387911306913486
PC435,0.05348295304127755
PC436,0.05252625201240175
PC437,0.052147881671838585
PC438,0.05209523674346086
PC439,0.051492553784978815
PC440,0.05127230132611198
PC441,0.05052703114252417
PC442,0.05073838601629813
PC443,0.05002588867990279
PC444,0.04970103843714686
PC445,0.04943872467839423
PC446,0.043202064508492316
PC447,0.04906905433900337
PC448,0.043355498790944684
PC449,0.04382694778533891
PC450,0.04852961568883609
PC451,0.044251527138991796
PC452,0.049908089000591925
PC453,0.04813450396099973
PC454,0.04754203059068446
PC455,0.04640095405048306
PC456,0.04704495533693611
PC457,0.04593002493799291
PC458,0.04716655809942269
PC459,0.04569292433367855
PC460,0.04460235286446989
PC461,0.04803408481989074
PC462,0.04665597542878326
PC463,0.04518097962515072
PC464,0.045309645295971306
PC465,0.042740201944337586
PC466,0.042385793711440016
PC467,0.041756797810704405
PC468,0.041970038372543414
PC469,0.04138601863604135
PC470,0.04095635687295397
PC471,0.041013708401208625
PC472,0.04067555440143726
PC473,0.040459064077482884
PC474,0.04031877882721825
PC475,0.04017205245784326
PC476,0.039395641946575646
PC477,0.0392993630712203
PC478,0.03891915970641844
PC479,0.03870652652267563
PC480,0.03851185848037552
PC481,0.03807397400670191
PC482,0.03792681123586983
PC483,0.03787766611552791
PC484,0.037604550148681
PC485,0.03741572250905129
PC486,0.036898622673186235
PC487,0.03655775957451677
PC488,0.03631193527191609
PC489,0.03635009627961864
PC490,0.03594009012135765
PC491,0.03569397358896948
PC492,0.03578747602297351
PC493,0.03531662971183689
PC494,0.03452461042162365
PC495,0.034766368127788085
PC496,0.03517302932170692
PC497,0.03497648072971272
PC498,0.034236204702817144
PC499,0.033983078415965984
PC500,0.0335392260236737
PC501,0.0332878014481396
PC502,0.03313583163565354
PC503,0.03273851119085933
PC504,0.03222620840783736
PC505,0.03198479653710309
PC506,0.02943108120002282
PC507,0.03251738406180027
PC508,0.029546270835908637
PC509,0.029884048478644926
PC510,0.03315982195575256
PC511,0.029719562719159234
PC512,0.03141165723028308
PC513,0.03079675823399293
PC514,0.03098244582510518
PC515,0.031256278452966635
PC516,0.03068942516686637
PC517,0.03005732379606447
PC518,0.03150733278430221
PC519,0.031171975196184247
PC520,0.029323910783416327
PC521,0.028995628856057235
PC522,0.028880123483274168
PC523,0.028745521626324332
PC524,0.028652947255609386
PC525,0.028196264835715763
PC526,0.028039107758018426
PC527,0.027752198042220125
PC528,0.027885116329022807
PC529,0.027504670337192637
PC530,0.027399077962644718
PC531,0.027165183879058696
PC532,0.02700849671750288
PC533,0.02686294551954967
PC534,0.02662891467573373
PC535,0.026444963270187097
PC536,0.0261560710560981
PC537,0.02628879074217159
PC538,0.02594198504638167
PC539,0.02585031583283859
PC540,0.025262910342564126
PC541,0.025668870459729678
PC542,0.02571453840375257
PC543,0.025527675130971896
PC544,0.0251509794877107
PC545,0.024841769408406933
PC546,0.024759319711171904
PC547,0.02450456339786527
PC548,0.02441106677419849
PC549,0.024042950259946388
PC550,0.023988775753257734
PC551,0.023943832487074105
PC552,0.02386762943586676
PC553,0.02359207325190402
PC554,0.023512555552839397
PC555,0.023212699526711737
PC556,0.022995340338853733
PC557,0.022895554008209473
PC558,0.022748909123072356
PC559,0.022691221589451825
PC560,0.022517817161633102
PC561,0.02189938080526105
PC562,0.02217719783834623
PC563,0.022329084751082178
PC564,0.021965806615334097
PC565,0.021389566228890627
PC566,0.021542101671558525
PC567,0.02209814720688847
PC568,0.021630167089200705
PC569,0.021182634176299762
PC570,0.021068763102104458
PC571,0.02076346844270357
PC572,0.020688221088261505
PC573,0.020649646883738194
PC574,0.020392854186040782
PC575,0.020300463662234855
PC576,0.020003764785851003
PC577,0.02021572124090379
PC578,0.02010297920097971
PC579,0.01996637745051611
PC580,0.019799090964260566
PC581,0.019694450131080208
PC582,0.019515725235741445
PC583,0.019395375907519528
PC584,0.019148350432952387
PC585,0.018886022691672215
PC586,0.01912304332070236
PC587,0.01924811013434283
PC588,0.01850784170686162
PC589,0.01867100704157804
PC590,0.018682796804500093
PC591,0.01841380540827689
PC592,0.017813410303583993
PC593,0.017938033509870756
PC594,0.018243468782320953
PC595,0.01815096569162671
PC596,0.017586887708141912
PC597,0.01276844133348018
PC598,0.01768492685790054
PC599,0.012886984667099087
PC600,0.017402231229660354
PC601,0.017354038650262152
PC602,0.013001478785281633
PC603,0.01719866397413084
PC604,0.01712317327986994
PC605,0.016973171415833058
PC606,0.01318350553775958
PC607,0.013193672557382973
PC608,0.013229484245826737
PC609,0.016768525819976576
PC610,0.013364237507994868
PC611,0.016662973712100307
PC612,0.01656373074042566
PC613,0.013545819452084896
PC614,0.013514628097875124
PC615,0.013640199734093191
PC616,0.013722639901547738
PC617,0.01652864082498448
PC618,0.013836375173192856
PC619,0.01389822811236137
PC620,0.01637932213639206
PC621,0.016255705784159205
PC622,0.014075186136189872
PC623,0.01631663987293013
PC624,0.014216131220609845
PC625,0.014244757521112232
PC626,0.01502197658253144
PC627,0.016050912021599813
PC628,0.015848053241430005
PC629,0.0157555871928605
PC630,0.016026425685627434
PC631,0.014908120906359562
PC632,0.014335838950847142
PC633,0.014522271352445456
PC634,0.0156088776620687
PC635,0.015558804183366868
PC636,0.015170314216915486
PC637,0.015229123908228559
PC638,0.014698251586889926
PC639,0.014682976664337398
PC640,0.015407780734284506
PC641,0.015651960924957336
PC642,0.0144774221950071
PC643,0.014616062592607445
PC644,0.015334348956532615
PC645,0.011609816302220754
PC646,0.011730849257618829
PC647,0.011781125374271935
PC648,0.011848514796113643
PC649,0.012008647701165718
PC650,0.012174148170826267
PC651,0.012200911020916621
PC652,0.012275869891720229
PC653,0.01239031362584018
PC654,0.01260754926526158
PC655,0.012451821604942175
PC656,0.012716571329495793
PC657,0.010516004380948163
PC658,0.010642228495287264
PC659,0.01066734596782386
PC660,0.010764187049381046
PC661,0.01083179325800489
PC662,0.010931990346897283
PC663,0.011003155470849957
PC664,0.011115421467539655
PC665,0.011138621107564072
PC666,0.011249780655984221
PC667,0.011454442730957347
PC668,0.011358296513209217
PC669,0.01137331233801783
PC670,0.011404575838348942
PC671,0.011314816695843203
PC672,0.011887289254362497
PC673,0.009576580170966836
PC674,0.0096060464611107
PC675,0.00974202104633851
PC676,0.009724704293946233
PC677,0.009945334280896629
PC678,0.009995592577018743
PC679,0.010020251027891475
PC680,0.010096789798971098
PC681,0.010310030879074278
PC682,0.01025463989087291
PC683,0.010436347291171336
PC684,0.010386888693197038
PC685,0.010217647737482637
PC686,0.010110708585751695
PC687,0.008686860869098844
PC688,0.008749089719851999
PC689,0.00884615816670907
PC690,0.008824685049425775
PC691,0.008962311822121144
PC692,0.008983718432315435
PC693,0.009254222266446054
PC694,0.009187293676007673
PC695,0.00929862355133038
PC696,0.009454696481246711
PC697,0.009072509265196836
PC698,0.009146806610666837
PC699,0.009084339775831323
PC700,0.009402519918231371
PC701,0.0076893217708781094
PC702,0.0077809103165744796
PC703,0.007761418044498543
PC704,0.00789671930297152
PC705,0.00795504631106593
PC706,0.008012343182324367
PC707,0.00804895953233873
PC708,0.008105659168346796
PC709,0.008202158126472412
PC710,0.008265313385182285
PC711,0.008540028004391513
PC712,0.00840739833297972
PC713,0.00839208822980886
PC714,0.008179134803206322
PC715,0.008637898047239159
PC716,0.008350723984619538
PC717,0.008498783219364132
PC718,0.007613885419374062
PC719,0.00758526317240269
PC720,0.006342850258544303
PC721,0.00639430365686813
PC722,0.007510042673917943
PC723,0.007280266034292432
PC724,0.007349415054654154
PC725,0.007452677834262404
PC726,0.00742173357477709
PC727,0.007192288518057247
PC728,0.00646131875555145
PC729,0.006539010256813016
PC730,0.006932361692256458
PC731,0.006996523171797485
PC732,0.006846504720392198
