Arquivo de saída: /home/pojucan/Área de Trabalho/231009/scripts/PCA/efetivos/arquivo_treinamento_suavizado_metricas10_100_50_10.csv

Época 27: LOSS no treinamento = 0.0111, LOSS na validação = 0.7147, LOSS no teste = 0.6719
Época 28: MAE no treinamento = 0.1190, MAE na validação = 0.1286, MAE no teste = 0.1333
Época 28: MSE no treinamento = 0.0219, MSE na validação = 0.0247, MSE no teste = 0.0266
Época 28: R-squared no treinamento = 0.7324, R-squared na validação = 0.7153, R-squared no teste = 0.6728
Época 28: LOSS no treinamento = 0.0111, LOSS na validação = 0.7153, LOSS no teste = 0.6728
Época 29: MAE no treinamento = 0.1187, MAE na validação = 0.1285, MAE no teste = 0.1331
Época 29: MSE no treinamento = 0.0218, MSE na validação = 0.0246, MSE no teste = 0.0265
Época 29: R-squared no treinamento = 0.7336, R-squared na validação = 0.7159, R-squared no teste = 0.6734
Época 29: LOSS no treinamento = 0.0110, LOSS na validação = 0.7159, LOSS no teste = 0.6734
Época 30: MAE no treinamento = 0.1183, MAE na validação = 0.1281, MAE no teste = 0.1328
Época 30: MSE no treinamento = 0.0217, MSE na validação = 0.0245, MSE no teste = 0.0264
Época 30: R-squared no treinamento = 0.7349, R-squared na validação = 0.7171, R-squared no teste = 0.6743
Época 30: LOSS no treinamento = 0.0110, LOSS na validação = 0.7171, LOSS no teste = 0.6743
Época 31: MAE no treinamento = 0.1180, MAE na validação = 0.1280, MAE no teste = 0.1326
Época 31: MSE no treinamento = 0.0216, MSE na validação = 0.0245, MSE no teste = 0.0264
Época 31: R-squared no treinamento = 0.7361, R-squared na validação = 0.7177, R-squared no teste = 0.6752
Época 31: LOSS no treinamento = 0.0109, LOSS na validação = 0.7177, LOSS no teste = 0.6752
Época 32: MAE no treinamento = 0.1177, MAE na validação = 0.1276, MAE no teste = 0.1323
Época 32: MSE no treinamento = 0.0215, MSE na validação = 0.0243, MSE no teste = 0.0263
Época 32: R-squared no treinamento = 0.7373, R-squared na validação = 0.7189, R-squared no teste = 0.6762
Época 32: LOSS no treinamento = 0.0109, LOSS na validação = 0.7189, LOSS no teste = 0.6762
Época 33: MAE no treinamento = 0.1173, MAE na validação = 0.1273, MAE no teste = 0.1320
Época 33: MSE no treinamento = 0.0214, MSE na validação = 0.0243, MSE no teste = 0.0262
Época 33: R-squared no treinamento = 0.7385, R-squared na validação = 0.7199, R-squared no teste = 0.6773
Época 33: LOSS no treinamento = 0.0108, LOSS na validação = 0.7199, LOSS no teste = 0.6773
Época 34: MAE no treinamento = 0.1170, MAE na validação = 0.1271, MAE no teste = 0.1318
Época 34: MSE no treinamento = 0.0213, MSE na validação = 0.0242, MSE no teste = 0.0261
Época 34: R-squared no treinamento = 0.7396, R-squared na validação = 0.7206, R-squared no teste = 0.6783
Época 34: LOSS no treinamento = 0.0108, LOSS na validação = 0.7206, LOSS no teste = 0.6783
Época 35: MAE no treinamento = 0.1167, MAE na validação = 0.1269, MAE no teste = 0.1315
Época 35: MSE no treinamento = 0.0212, MSE na validação = 0.0242, MSE no teste = 0.0260
Época 35: R-squared no treinamento = 0.7406, R-squared na validação = 0.7212, R-squared no teste = 0.6794
Época 35: LOSS no treinamento = 0.0107, LOSS na validação = 0.7212, LOSS no teste = 0.6794
Época 36: MAE no treinamento = 0.1164, MAE na validação = 0.1266, MAE no teste = 0.1311
Época 36: MSE no treinamento = 0.0211, MSE na validação = 0.0241, MSE no teste = 0.0259
Época 36: R-squared no treinamento = 0.7416, R-squared na validação = 0.7223, R-squared no teste = 0.6804
Época 36: LOSS no treinamento = 0.0107, LOSS na validação = 0.7223, LOSS no teste = 0.6804
Época 37: MAE no treinamento = 0.1162, MAE na validação = 0.1267, MAE no teste = 0.1309
Época 37: MSE no treinamento = 0.0210, MSE na validação = 0.0241, MSE no teste = 0.0259
Época 37: R-squared no treinamento = 0.7425, R-squared na validação = 0.7222, R-squared no teste = 0.6811
Época 37: LOSS no treinamento = 0.0106, LOSS na validação = 0.7222, LOSS no teste = 0.6811
Época 38: MAE no treinamento = 0.1159, MAE na validação = 0.1261, MAE no teste = 0.1306
Época 38: MSE no treinamento = 0.0210, MSE na validação = 0.0239, MSE no teste = 0.0258
Época 38: R-squared no treinamento = 0.7435, R-squared na validação = 0.7237, R-squared no teste = 0.6821
Época 38: LOSS no treinamento = 0.0106, LOSS na validação = 0.7237, LOSS no teste = 0.6821
Época 39: MAE no treinamento = 0.1156, MAE na validação = 0.1260, MAE no teste = 0.1304
Época 39: MSE no treinamento = 0.0209, MSE na validação = 0.0239, MSE no teste = 0.0257
Época 39: R-squared no treinamento = 0.7445, R-squared na validação = 0.7242, R-squared no teste = 0.6829
Época 39: LOSS no treinamento = 0.0106, LOSS na validação = 0.7242, LOSS no teste = 0.6829
