componentes_principais,autovalores
PC246,20.100076679972343
PC247,19.910716483148974
PC248,20.035265315724104
PC249,19.65315959111208
PC250,19.722855474556898
PC251,19.560397942646958
PC252,19.37546090037692
PC253,19.233056273016857
PC254,19.15779854619249
PC255,19.134456563719773
PC256,19.097592592550857
PC257,18.881179924960644
PC258,18.98406662211744
PC259,18.964312163789845
PC260,18.746794870182708
PC261,18.603248705145575
PC262,18.546209553198437
PC263,18.500045328405488
PC264,18.44688793336444
PC265,18.299985283232623
PC266,18.2099832281257
PC267,18.153090702827388
PC268,18.117938919782954
PC269,16.164725096969875
PC270,18.053956330529807
PC271,17.918310489910592
PC272,17.827499694097085
PC273,17.765589365370534
PC274,17.694534906537534
PC275,16.251703774626417
PC276,16.2646371371421
PC277,16.304351504919367
PC278,16.41995147898035
PC279,16.445975293110926
PC280,16.605397058178035
PC281,17.512812524343417
PC282,16.641572811474187
PC283,17.60998396034018
PC284,17.386095565159305
PC285,17.005967483567893
PC286,16.914655426836575
PC287,17.306359450948495
PC288,16.83005624533441
PC289,16.7735376819695
PC290,16.802270478408616
PC291,17.345099812360523
PC292,17.136698458507272
PC293,17.177092054775724
PC294,17.15553580631563
PC295,15.91704307792011
PC296,16.045233416243565
PC297,16.02553988613579
PC298,15.989090623372762
PC299,15.7768686710766
PC300,15.71286266729485
PC301,15.654878596403348
PC302,15.603212577475636
PC303,15.526373302355733
PC304,15.454251362645175
PC305,15.379670493586485
PC306,15.30800776511841
PC307,15.245845433725789
PC308,13.38504154584967
PC309,13.50372935114034
PC310,15.173146797448776
PC311,15.058261895642481
PC312,13.536395667534455
PC313,15.022245504187909
PC314,15.109989877095847
PC315,13.615140464346075
PC316,14.627153827532943
PC317,14.875787543891827
PC318,14.72005807337311
PC319,14.555895560042526
PC320,14.480474680327223
PC321,13.934793753519193
PC322,13.697143110223685
PC323,13.960768546930487
PC324,14.057164024473233
PC325,14.21859004597116
PC326,14.376932662616895
PC327,13.818162217027297
PC328,14.325945782172838
PC329,14.796939919910828
PC330,14.121726621562297
PC331,13.824380294931888
PC332,14.424362890408991
PC333,13.74151800593005
PC334,13.704709755063588
PC335,14.82919060255525
PC336,11.58764518878138
PC337,13.356895183053936
PC338,13.337084849143245
PC339,11.632054549182728
PC340,11.66353211885022
PC341,13.256103288314316
PC342,13.195343866117122
PC343,13.142444617109344
PC344,11.75337377236283
PC345,11.769376672590024
PC346,11.861891377469675
PC347,11.896754041934487
PC348,11.828770131127744
PC349,13.043275370483414
PC350,13.059134955522852
PC351,11.983066723939816
PC352,12.95682461672117
PC353,12.03401161057887
PC354,12.925345397825447
PC355,12.888921428033454
PC356,12.120797223818675
PC357,12.173049402428015
PC358,12.51403319358022
PC359,12.447821984813832
PC360,12.77352010273729
PC361,12.664604789982132
PC362,12.597271416835424
PC363,12.353988672257177
PC364,12.798663386297477
PC365,12.577558597494477
PC366,12.274799378348375
PC367,12.326374751352189
PC368,12.082616843805825
PC369,12.290419229855514
PC370,12.701120670126762
PC371,12.850683563806252
PC372,10.264852827033636
PC373,10.316065407200888
PC374,10.363680820781441
PC375,10.432959868504662
PC376,10.48451240419414
PC377,10.514013527019952
PC378,10.631652224853507
PC379,10.672927259779323
PC380,10.53421507325364
PC381,10.73343531812209
PC382,11.552314808020984
PC383,11.42564712614785
PC384,11.359761835421528
PC385,11.174535112639932
PC386,11.031180528046164
PC387,11.081186250841624
PC388,11.33298335497271
PC389,11.496885330754967
PC390,11.224422831265073
PC391,10.809330315623356
PC392,10.979594915247876
PC393,10.782920181604156
PC394,10.920839594049493
PC395,11.29984112018797
PC396,11.459195894137283
PC397,11.138799618819112
PC398,10.840381383403571
PC399,10.950129826380941
PC400,9.25795386848374
PC401,9.282847709205726
PC402,9.304407432546578
PC403,9.325425356613971
PC404,9.412635661243012
PC405,9.441661011402608
PC406,9.478748699454329
PC407,10.147674087454485
PC408,9.94412698324346
PC409,10.371043492586065
PC410,9.463314395166133
PC411,9.544882545418881
PC412,9.76197449159212
PC413,9.996982369834745
PC414,9.674747641571418
PC415,10.212777494522268
PC416,9.582139816626283
PC417,9.812308792260541
PC418,9.849131033983438
PC419,9.829591524304284
PC420,9.610382693574484
PC421,10.220837050412285
PC422,10.044499330021937
PC423,9.623239378769462
PC424,10.095981819309916
PC425,10.052801572241455
PC426,9.710321521274906
PC427,10.085015024461924
PC428,8.367627223039847
PC429,8.412465212841646
PC430,8.41970654398214
PC431,8.449500590291827
PC432,8.492582261597072
PC433,8.550609371746235
PC434,8.584469429001752
PC435,8.61472406636847
PC436,8.693157279979037
PC437,8.78399573347416
PC438,8.803114942212627
PC439,8.65143036621315
PC440,8.89050162728154
PC441,9.210749542084626
PC442,9.175770154250504
PC443,8.63128606749671
PC444,8.934327206430373
PC445,8.963703738012725
PC446,9.09331066379982
PC447,9.116162529680276
PC448,9.034413933271061
PC449,8.835144015912022
PC450,9.006291731266684
PC451,9.011721220375644
PC452,7.541260078027765
PC453,7.545748769499899
PC454,7.580174172654439
PC455,7.6289755973915945
PC456,7.666001447646943
PC457,7.700232497177961
PC458,7.71829400565113
PC459,7.751226131368785
PC460,7.801962467078367
PC461,8.313159978047787
PC462,8.294582633876479
PC463,8.031110017860103
PC464,7.843106778039173
PC465,8.091367934687753
PC466,8.199163894159147
PC467,7.941354324726262
PC468,8.173761170741678
PC469,8.122122339205344
PC470,8.140851233693185
PC471,8.246287905142271
PC472,8.254692582145978
PC473,7.898094625516089
PC474,7.887621299734277
PC475,7.883069121025028
PC476,7.917636826947303
PC477,7.4806644572555445
PC478,7.439397568328533
PC479,7.396410384687093
PC480,7.3773600414141285
PC481,7.331466396112262
PC482,7.337602085327442
PC483,7.389183172418864
PC484,7.256173544498661
PC485,7.237334583017228
PC486,7.205467066085893
PC487,7.169793224789336
PC488,6.6901746237660245
PC489,6.715982703044447
PC490,6.748595258903646
PC491,7.116493022620432
PC492,7.080029153374967
PC493,6.919760183256326
PC494,6.851775952109548
PC495,6.830546997811217
PC496,6.780937938548292
PC497,7.033361283119922
PC498,7.007919994060467
PC499,6.985004470617476
PC500,6.965439532475348
PC501,6.886395325597572
PC502,6.722432952011836
PC503,6.809466485997243
PC504,7.062650301460282
PC505,6.580801206722706
PC506,6.644039689171687
PC507,6.629190966672135
PC508,6.552269646067416
PC509,6.529602734075209
PC510,6.492794467758885
PC511,6.477173747710674
PC512,6.38425252238359
PC513,6.424220204029168
PC514,6.353339609874118
PC515,6.44603726425164
PC516,6.331797999127252
PC517,6.299712293635661
PC518,6.257864242636005
PC519,6.271046501049697
PC520,6.201253170137292
PC521,6.1879319632700955
PC522,6.149730899066598
PC523,6.121261888312791
PC524,6.1055339245116
PC525,6.042474220761208
PC526,6.036350057365744
PC527,6.016632214613557
PC528,5.986759480187342
PC529,5.972956089131631
PC530,5.9564680695949574
PC531,5.881661713939388
PC532,5.918813521075888
PC533,5.934878485060713
PC534,5.766639535691148
PC535,5.801848603258272
PC536,5.815748292309623
PC537,5.889382688578119
PC538,5.696571693578487
PC539,5.729179027347973
PC540,5.7051771824493915
PC541,5.66845235032242
PC542,5.65201982248786
PC543,5.620691712604843
PC544,5.582520710408695
PC545,5.57242623942631
PC546,5.509635804777772
PC547,5.53750157706875
PC548,5.5973957208647604
PC549,5.427211963465478
PC550,5.497080935397712
PC551,5.414280723529005
PC552,5.383537004560771
PC553,5.363195520476266
PC554,5.342855921499373
PC555,5.303546893250232
PC556,5.271028232436186
PC557,5.2387912338041085
PC558,5.224433244744589
PC559,4.147816268799529
PC560,4.1664477077854185
PC561,5.213254572708964
PC562,5.195546215915882
PC563,5.105032327923341
PC564,5.168358840324407
PC565,5.1402631990717405
PC566,5.137403252885491
PC567,4.176571446350178
PC568,5.052631520874527
PC569,4.196439346860458
PC570,5.072109647247933
PC571,5.0339076728947925
PC572,4.228167283609197
PC573,5.014355560257043
PC574,4.970191623657822
PC575,4.959402942904561
PC576,4.2631255101323555
PC577,4.290360810771036
PC578,4.313162278228081
PC579,4.941128618435063
PC580,4.922925431607301
PC581,4.883026098206828
PC582,4.866120008250816
PC583,4.327550552522783
PC584,4.3409482578114265
PC585,4.333588476126015
PC586,4.898127388053433
PC587,4.824502065860465
PC588,4.847115321061076
PC589,4.7798595285579415
PC590,4.795082452000941
PC591,4.411079790787874
PC592,4.402508046765127
PC593,4.7560509191878335
PC594,4.437867995234402
PC595,4.464098487783362
PC596,4.721927521627966
PC597,4.485018197656978
PC598,4.618042406543592
PC599,4.645798336052046
PC600,4.700153887267951
PC601,4.558900400449231
PC602,4.5371141515334275
PC603,4.502861031791807
PC604,4.514067265455591
PC605,4.583553057680893
PC606,4.5990650720678445
PC607,4.715394974184823
PC608,4.6431909094109844
PC609,3.944605128239027
PC610,3.974552142414203
PC611,3.982897010094203
PC612,4.00461240502133
PC613,4.016895056852663
PC614,4.0336349787994354
PC615,4.079894326542356
PC616,4.09595320667556
PC617,4.1072325644408805
PC618,4.12299134305541
PC619,4.047934901007809
PC620,3.6155858892018835
PC621,3.6227063937673885
PC622,3.637411698309574
PC623,3.9185590255871503
PC624,3.90581297917254
PC625,3.688131755976981
PC626,3.7227531056992897
PC627,3.7494379289527284
PC628,3.758798004092331
PC629,3.818373878964345
PC630,3.707184609657274
PC631,3.839800926635747
PC632,3.8627744475695924
PC633,3.7933683795395283
PC634,3.695260425058563
PC635,3.7767714661149165
PC636,3.864242478927626
PC637,3.8321403379548147
PC638,3.5777889722912812
PC639,3.561568395576408
PC640,3.548454774536783
PC641,3.5315650977985698
PC642,3.522271101371235
PC643,3.498015650659412
PC644,3.4660605281833856
PC645,3.479292817491384
PC646,3.4051844509135987
PC647,3.426220871148425
PC648,3.441542074266012
PC649,3.3806414550002195
PC650,3.365691361370323
PC651,3.3609387180421795
PC652,3.339803098396663
PC653,3.277127959502045
PC654,3.3153840911410715
PC655,3.3213631461353104
PC656,3.2924777490469257
PC657,3.2532911774577897
PC658,3.055475282524509
PC659,3.2306447648289467
PC660,3.1624477889568974
PC661,3.186674185651303
PC662,3.0706112299846944
PC663,3.086628077503533
PC664,3.2120597606938226
PC665,3.114823619798352
PC666,3.1777790500824015
PC667,3.0987522922774224
PC668,3.124421425429505
PC669,3.216201141385897
PC670,3.008693813112176
PC671,3.0305833482843054
PC672,3.031558621867718
PC673,2.9937637232112624
PC674,2.985999702026463
PC675,2.9578988129826103
PC676,2.947424298097826
PC677,2.9306853321935877
PC678,2.912241209207788
PC679,2.8858823026871705
PC680,2.8519219621504828
PC681,2.8977784801760973
PC682,2.9808988875204516
PC683,2.8349973622627744
PC684,2.8614216531279997
PC685,2.8091515746426428
PC686,2.7921758651044843
PC687,2.766579264306396
PC688,2.774620819098396
PC689,2.7503161843619903
PC690,2.735247880990854
PC691,2.1334160924287486
PC692,2.1406345132798545
PC693,2.152683978012341
PC694,2.671952082571707
PC695,2.697295179187882
PC696,2.7063086154001224
PC697,2.6589014444748393
PC698,2.1635046884867157
PC699,2.1668387555285524
PC700,2.1933087295217595
PC701,2.643114332115788
PC702,2.6183063543041505
PC703,2.603718260008418
PC704,2.6118048618623235
PC705,2.209921150953315
PC706,2.221972499499687
PC707,2.232343629904994
PC708,2.5663294365273788
PC709,2.5535280486400365
PC710,2.584555981802621
PC711,2.252358453855689
PC712,2.527874838448272
PC713,2.2659492153349454
PC714,2.5403127951378157
PC715,2.2718206597101642
PC716,2.5042668612333028
PC717,2.2991548040597154
PC718,2.4618296233865706
PC719,2.4750711189912367
PC720,2.349033685356638
PC721,2.486557677071397
PC722,2.498684608152411
PC723,2.369494392480707
PC724,2.335662851737664
PC725,2.321150580360073
PC726,2.422415299502497
PC727,2.3251962431006876
PC728,2.381010590760738
PC729,2.4688763610013056
PC730,2.4263256897236705
PC731,2.401847214499265
PC732,2.391358660982783
PC733,2.0192584043524726
PC734,2.03834295014132
PC735,2.044327433019289
PC736,2.061227187158286
PC737,2.070413570168282
PC738,2.079570932935931
PC739,2.1045487292787506
PC740,2.1159434315068446
PC741,2.1248539361269296
PC742,1.806524833773698
PC743,1.8178468571010646
PC744,1.9653549746120789
PC745,1.9785801379581192
PC746,1.9562769935013917
PC747,1.869259313880958
PC748,1.8870782297032804
PC749,1.853052623129875
PC750,1.990643824725851
PC751,1.9977554154886648
PC752,1.8389989374423108
PC753,1.894541028248157
PC754,1.9127563310018687
PC755,1.9413547330544272
PC756,1.9214005903435918
PC757,1.8455845073125832
PC758,1.8329105650703694
PC759,2.0067379834296517
PC760,1.7894488918792881
PC761,1.7677773625617883
PC762,1.770617397096079
PC763,1.7544115320686255
PC764,1.7457315260683377
PC765,1.7393018918903
PC766,1.733406377789339
PC767,1.696443161933418
PC768,1.7081633299380865
PC769,1.72395218434704
PC770,1.7215659807483243
PC771,1.6510748571230378
PC772,1.6764760723362195
PC773,1.683446170093298
PC774,1.6421699510753631
PC775,1.6285289023474372
PC776,1.6105166044818329
PC777,1.662937375954686
PC778,1.6046389689173934
PC779,1.5825012720224862
PC780,1.5740418782438026
PC781,1.5639422993501797
PC782,1.5367573979116702
PC783,1.5292145890587974
PC784,1.559149489604392
PC785,0.022570887932419362
PC786,1.5149499241164455
PC787,1.5088836774186478
PC788,1.5051843868124084
PC789,1.4951685166380302
PC790,1.4837318284545047
PC791,1.4707089739972912
PC792,1.460942352568898
PC793,1.4560580336842779
PC794,1.4427243351401298
PC795,1.4364721574563135
PC796,1.4292675289576129
PC797,1.3757553773115663
PC798,1.3951028603553821
PC799,1.3915722691374088
PC800,1.385046759180066
PC801,1.3626772780882521
PC802,1.4063073170099698
PC803,0.24958262816812274
PC804,0.24427022489290132
PC805,0.23950104882401424
PC806,0.23293265628711776
PC807,0.18552459938498883
PC808,0.2297717355745427
PC809,0.17898147818133453
PC810,0.17543629521098095
PC811,0.22468665805697674
PC812,0.21533635848993288
PC813,0.1949493838572783
PC814,0.21001080362541177
PC815,0.1626575530038088
PC816,0.1591412336132024
PC817,0.15495735268946595
PC818,0.20112622078662626
PC819,0.026945677697807712
PC820,0.02799812031599513
PC821,0.20709812522834017
PC822,0.14847239692677774
PC823,0.1333902141463296
PC824,0.02950300363075977
PC825,0.029927842169694508
PC826,0.031052729340737804
PC827,0.03172037804408987
PC828,0.12665082846736814
PC829,0.12139630641720711
PC830,0.11970459282711254
PC831,0.12755234039185515
PC832,0.14116591740705017
PC833,0.11408202682090333
PC834,0.033745612688224874
PC835,0.03482662717134294
PC836,0.035701212328037815
PC837,0.14065374432760844
PC838,0.10613608077497612
PC839,0.10275651319085892
PC840,0.09896216978952935
